gene_symbol	logFC	AveExpr	t	P.Value	adj.P.Val	B
ARHGAP33	2.5952225533470497	6.355292030567042	9.553573504619335	5.263257837490856e-09	3.4834345671649483e-06	10.884652775639719
DPYSL5	3.265778267318996	5.7001363959350755	9.291553564405104	8.410041661815011e-09	4.107422795436795e-06	10.420263092932217
MAPK8IP2	3.2229936071095264	4.270300031177325	8.63673345694267	2.816636911739232e-08	8.229508744455604e-06	9.171082374465346
PRR36	2.9933802957151796	6.4769447309052826	8.633287877256418	2.83501751743001e-08	8.229508744455604e-06	9.23998994856101
GRM4	3.5435168011394738	4.087914130809452	8.004212860479784	9.541179056763932e-08	1.7737564570264555e-05	8.005120407684505
TMEM151B	5.81112858282628	2.5345153487587817	7.803234623607577	1.421610620160922e-07	2.338396018546356e-05	7.233134301215831
MELTF	3.4609462039925396	4.16391336028788	7.612877966718712	2.0843656853665305e-07	3.0252556693047906e-05	7.277155495606028
CELSR3	2.7860514763216946	6.13913951815125	7.31400893230228	3.83861134018414e-07	4.26420634535466e-05	6.682730647051011
FANCA	2.3834477002706853	6.315090846879848	7.249425059056396	4.38700434652587e-07	4.683056381781745e-05	6.546289363454477
WNK2	2.984480818616065	5.952748289163811	7.192244727628313	4.939886947123463e-07	5.206074485802854e-05	6.439736000881243
TRIM9	4.818705923701345	3.490667282155412	7.163959874728988	5.239462043589538e-07	5.3568096108200926e-05	6.339968690532163
TONSL	2.4502499375373588	4.8803498564834085	7.16300113564407	5.249938567465019e-07	5.3568096108200926e-05	6.410071928285033
SLC8A2	5.826225821661996	1.387650234871963	6.953495781262545	8.147198224420877e-07	6.99320451953023e-05	5.340589301375235
CDKN2C	3.0412527523767574	3.7273497291330324	6.933378932620212	8.500962388429276e-07	7.213175573279529e-05	5.918304409019651
C21ORF58	2.75922421129434	4.921118893424002	6.867086607798309	9.782845102348148e-07	7.782065147281368e-05	5.805079942712458
E2F2	2.926781578120066	4.377254339759414	6.803767250225295	1.1193423791679824e-06	8.548448323666684e-05	5.68344514219684
INSM1	4.002063634169212	5.4293357077063185	6.784018609908223	1.1674945335552979e-06	8.820714407399982e-05	5.613764354529202
NECTIN1	1.8635036113056458	5.381732797102011	6.764142429537418	1.2181126284234816e-06	9.16131434086133e-05	5.574148334960803
CDCA8	3.8401387061819245	2.698005955910511	6.707232938819132	1.3759050794613136e-06	9.710818406633446e-05	5.309934554514001
CHRNB2	2.789862438583311	4.444191248946821	6.68750733037539	1.4353829189048912e-06	0.00010063493972966241	5.444060284834727
BRSK1	3.175783656624167	3.243585705314916	6.673978864309501	1.4776980087431416e-06	0.00010273105568346228	5.34957560918053
