gene_symbol	logFC	AveExpr	t	P.Value	adj.P.Val	B
PLEKHO1	2.7455496185327033	4.9714052142024725	13.463750571930149	1.2787967239731824e-08	0.00013178000240543643	9.685394644320024
SLC7A11	1.7761042023783018	5.354922838109719	10.050950675367472	3.295986569347198e-07	0.0011321713865707626	7.027386161879061
LIN7A	5.132976697854689	0.41597900908542546	7.691898815919935	5.496253029779557e-06	0.011327777494375666	1.9014321997179513
CD82	2.3939364897076167	4.0788889709836145	6.765998810727355	1.9646318101338464e-05	0.027584635535721914	3.1680711345246175
PECAM1	1.194453489983978	6.563238245964399	6.759479022149753	1.98309844080454e-05	0.027584635535721914	3.1753099756958445
TNFAIP3	1.807973750436827	6.636968924530311	6.663599500033921	2.2770700719119414e-05	0.027584635535721914	3.037661302195797
FOXN3	1.1389475688005826	6.762219374595873	6.552468612109641	2.6768205274839314e-05	0.027584635535721914	2.8754265978705504
EMC10	1.134382356662825	5.852827388093037	6.391267263978523	3.394584179186018e-05	0.029150991638759928	2.6611628014052426
GPR82	2.711752548970821	2.3142111667515914	6.2384239878584316	4.265958270127017e-05	0.03091640356213391	2.0949763922901123
RAB13	1.3703206112223327	3.966188616617222	6.202970229806726	4.500204303076261e-05	0.03091640356213391	2.395063106160383
CYP1B1	1.8335051199304955	5.522523670956999	6.063305472717267	5.564392815574102e-05	0.032534956739673944	2.1857567794594805
C5ORF45	0.9885657409126418	6.095272162449728	6.005955123924134	6.075907186952423e-05	0.032534956739673944	2.081125965456655
PLA2G4C	3.2867226181113836	1.4042005782770177	5.974494168150653	6.37745357431259e-05	0.032534956739673944	1.307470623845762
FNDC3B	1.0100894940227088	7.035752638255712	5.96013206648997	6.520341150303085e-05	0.032534956739673944	1.9851086940413527
CAMSAP2	1.6571654785575243	3.7795738625457735	5.925570338793409	6.87826335373907e-05	0.032534956739673944	1.9926692023000383
ARHGEF3	1.8477640985441757	4.7358755285125	5.919258712862258	6.94584229279793e-05	0.032534956739673944	1.992018987073978
MS4A7	0.9015792036563344	6.7273356600164105	5.854469043002082	7.681597670430435e-05	0.03441689738860245	1.8294912962028498
NAV3	3.4380142368715143	1.2180244432429754	5.824257999634459	8.052452495869434e-05	0.03457521790413939	1.0370501340355878
KIAA1614	1.890929804960705	3.1990593358939305	5.746666908117118	9.094373403611909e-05	0.03604519920162336	1.6897354921146324
SQSTM1	1.3305399975334407	6.296031869045579	5.599701183416466	0.00011478163446976608	0.03984228236385199	1.4438312733354266
CLEC12A	0.8367649184071109	5.703261396821831	5.536597325114548	0.0001269659598803421	0.03984228236385199	1.3675805472689255
FMNL3	1.4186478037432737	3.9976646372080964	5.477237445033591	0.00013967698598300245	0.040554995470451285	1.3364295383311502
ZC3H12C	1.4968106287832055	3.8871161271580363	5.384284891325329	0.00016234735622880863	0.0441798586915063	1.19513611274487
LRG1	0.900717537380376	5.491443532108139	5.372223207885245	0.0001655617417528013	0.0441798586915063	1.1156375608002573
ATRN	1.2565917395878015	3.923135434310634	5.366163733740634	0.00016720179417455076	0.0441798586915063	1.1673025765586509
PIWIL4	1.1376338043305467	3.7620614821891767	5.340642441992439	0.000174299448473024	0.04490389541286281	1.1282255812766646
BIRC3	2.7523574593736386	2.79895810549177	5.274256920762015	0.00019428824620658475	0.046720761554012016	0.966105909533364
SAT1	0.8014104844256851	5.512397986162604	5.239821986183077	0.00020559365837253545	0.046720761554012016	0.9010870702694085
MMP14	1.3569798341721944	5.728410381962164	5.1721354985200545	0.00022988035157234786	0.04895152361126772	0.7795068250040558
YY1AP1	1.1215343819873658	5.338047126771794	5.146268317393415	0.00023994240916562045	0.049452130529034376	0.7583300805730966
CPNE3	1.1113149238489664	5.156517024309445	5.124620705388068	0.00024871863089628176	0.05001329013894858	0.7333480196535351
PKIB	1.4986983767411273	3.6703761063470592	5.115845284379647	0.0002523717697453009	0.05001329013894858	0.7822343318224547
SYNJ1	1.3261913266961538	3.1235873639482485	4.9548325327637555	0.0003304084817510531	0.061123775350673634	0.523204185272049
DENND5B	1.1876686736825692	3.2685295888902153	4.951690188936983	0.00033216219501579073	0.061123775350673634	0.5236345179751458
GNS	0.8085464788299017	4.878642128728338	4.909441542111322	0.0003567116462789188	0.06258274662195921	0.39712636888274133
