id,gene_symbol,logFC,AveExpr,t,P_Value,adj_P_Val,B
1,TMEM158,3.556100844,7.755925792999999,26.71632687,5.589999999999999e-17,4.66e-14,29.10456035
2,ESM1,6.457394326,2.9814987160000004,24.10111932,4.04e-16,2.49e-13,26.79267757
3,GNG11,2.343827547,7.193090995,22.34437192,1.7100000000000002e-15,6.82e-13,25.70423663
4,ECI2,3.1930795639999996,4.75587379,21.75131178,2.8600000000000003e-15,1.07e-12,25.19588287
5,NIPAL3,2.088091615,6.854206597,20.8508576,6.3700000000000006e-15,1.83e-12,24.38406102
6,CYP3A7,6.595925785,-0.509951395,20.77476062,6.829999999999999e-15,1.8700000000000003e-12,19.85685837
7,CORO2B,1.9072757230000001,5.638936268999999,19.84106841,1.63e-14,3.72e-12,23.45138701
8,C3ORF18,2.106630011,5.290987695,19.80863956,1.68e-14,3.77e-12,23.42607812
9,FAM214B,1.58448764,5.407930631,19.7484784,1.78e-14,3.92e-12,23.36654006
10,SMTN,1.601506455,6.695507626,19.704859699999997,1.85e-14,4.01e-12,23.30648878
11,SMG9,1.679814591,5.845037702000001,19.03918961,3.54e-14,6.83e-12,22.66409217
12,PFN2,1.829895499,6.847720252,18.97053926,3.79e-14,7.14e-12,22.58260168
13,RRM2B,2.033757182,7.542909921000001,18.96214506,3.82e-14,7.14e-12,22.57492533
14,ARHGAP22,2.509949871,6.837850447,18.39620116,6.74e-14,1.13e-11,21.997919
15,APOBEC3C,1.2499395629999999,7.257580742000001,18.35233032,7.05e-14,1.16e-11,21.95215002
16,PNP,1.6515388469999999,4.585436604,18.33990002,7.14e-14,1.16e-11,21.98777442
18,CYLD,2.060588956,7.0864008510000005,18.22528776,8.02e-14,1.25e-11,21.82005644
19,SDPR,3.776964001,2.772968715,17.94590307,1.0699999999999999e-13,1.54e-11,21.50174804
20,PGPEP1,1.118057174,6.320540845,17.88092181,1.15e-13,1.61e-11,21.46321031
21,SRXN1,1.3555211809999999,6.704368454,17.73161517,1.34e-13,1.81e-11,21.30000583
22,SMAGP,1.878632399,4.6825553730000005,17.70310319,1.3800000000000002e-13,1.83e-11,21.32158951
23,VANGL1,1.831550775,4.608168344,17.63070668,1.49e-13,1.94e-11,21.24725185
24,ADK,1.36107837,5.574614332,17.54185003,1.6399999999999998e-13,2.0800000000000002e-11,21.11997184
25,KDM3B,1.64283892,5.744604211,17.24149836,2.26e-13,2.7100000000000002e-11,20.78866862
26,E2F7,3.4945625610000004,4.602277656,17.1202933,2.57e-13,3.03e-11,20.69710962
27,ABLIM3,1.764644434,6.739181349,17.06614786,2.7300000000000005e-13,3.18e-11,20.57532884
28,PLAUR,1.217938688,5.490147914,16.94515155,3.11e-13,3.46e-11,20.47001047
29,NUDCD3,1.211387067,7.0493563020000005,16.72636194,3.96e-13,4.1799999999999994e-11,20.194161899999997
30,SRD5A1,1.642376186,5.25591964,16.57851041,4.67e-13,4.89e-11,20.06697146
31,GADD45A,1.7226662959999999,5.6306262910000004,16.56647969,4.73e-13,4.9100000000000004e-11,20.03979915
32,CDH4,1.896883816,3.919253513,16.44208803,5.44e-13,5.3700000000000006e-11,19.97006948
33,MRPL49,1.16273339,6.056885086,16.29790059,6.4e-13,6.08e-11,19.71788392
34,ITGA2,3.784281563,5.747931436,16.27630846,6.559999999999999e-13,6.12e-11,19.70336032
35,TXNL4B,1.7969066630000001,4.2049005489999995,16.16445057,7.45e-13,6.62e-11,19.64313765
36,PLEKHB2,1.08210729,7.6838185160000005,16.03906271,8.600000000000001e-13,7.36e-11,19.40649775
37,SERPINB2,4.461898537,4.575473665,15.97117011,9.3e-13,7.72e-11,19.40088175
38,SHC1,1.361442733,8.409765547000001,15.962903099999998,9.390000000000001e-13,7.73e-11,19.33026694
39,TLDC1,1.4609451,5.378736224,15.93317638,9.71e-13,7.93e-11,19.31757488
40,NTNG1,3.7017040999999997,3.1166596560000004,15.92393894,9.82e-13,7.93e-11,19.38657108
41,PC,1.8984658680000002,4.387019189,15.8438353,1.08e-12,8.579999999999999e-11,19.26203016
42,SH3BP5L,1.598909956,6.068348952000001,15.82298429,1.1e-12,8.73e-11,19.16182448
43,NCEH1,2.106260046,5.87422538,15.81470982,1.1100000000000001e-12,8.759999999999999e-11,19.1586617
44,MAST4,2.504410526,4.346788495,15.78817632,1.15e-12,8.870000000000001e-11,19.1988373
45,SDCBP2,3.327504766,2.390460919,15.77406926,1.17e-12,8.959999999999999e-11,19.13853282
46,TIGAR,1.229745678,5.257643834,15.63859858,1.3700000000000002e-12,1.0200000000000001e-10,18.973597100000003
47,GTF2F2,1.308441378,5.25746888,15.60547451,1.4199999999999998e-12,1.0500000000000001e-10,18.9339965
48,SELPLG,2.347778368,2.8338064480000003,15.55731125,1.51e-12,1.09e-10,18.95133003
50,TCAIM,1.549523538,4.963598596000001,15.41220003,1.79e-12,1.2399999999999999e-10,18.71594927
51,SLC35E1,1.051127269,6.612488036,15.39882935,1.82e-12,1.25e-10,18.64089747
52,HPCAL1,1.4158512380000001,5.493871379,15.21928733,2.25e-12,1.51e-10,18.45611695
53,TMEM81,3.168729496,1.7862700130000002,15.19864491,2.31e-12,1.53e-10,18.31794783
54,LARP6,1.074839475,6.351330856000001,15.08089081,2.66e-12,1.73e-10,18.2548252
55,RTCA,1.200032201,5.548247944,15.02220969,2.86e-12,1.8200000000000002e-10,18.21087577
56,FAM219B,1.096084797,5.778269765,15.00499548,2.92e-12,1.8499999999999998e-10,18.17977771
57,DCBLD2,2.354017222,9.335843915,14.90168005,3.3100000000000002e-12,2.07e-10,18.06590113
58,RPL23AP82,1.314676352,5.477004761,14.77381995,3.87e-12,2.34e-10,17.9038204
59,ENTPD4,1.2060320390000001,6.2446669560000005,14.72824196,4.09e-12,2.47e-10,17.81617444
60,MACROD2,1.603758409,2.912668891,14.70598175,4.21e-12,2.51e-10,17.94582655
61,CASP4,1.178425899,5.283613896,14.60704488,4.76e-12,2.7699999999999997e-10,17.70214452
62,C11ORF68,1.409138864,6.42377767,14.54948503,5.110000000000001e-12,2.93e-10,17.5847584
63,SMURF2,1.335032378,7.1295952279999995,14.42637347,5.96e-12,3.3e-10,17.42121014
64,FHL2,1.0110828090000001,7.455306189,14.40123018,6.15e-12,3.3799999999999997e-10,17.39002365
65,APBA1,1.4402183869999998,5.117604625,14.37770313,6.34e-12,3.4500000000000005e-10,17.41784905
66,WDR44,1.001727255,5.488852153,14.32241674,6.799999999999999e-12,3.6200000000000004e-10,17.32775962
67,MED10,1.003129525,5.434282531,14.27182556,7.249999999999999e-12,3.8100000000000003e-10,17.26485889
68,LCE1F,7.092774658,0.6947380479999999,14.23030987,7.639999999999999e-12,3.98e-10,16.62376903
69,SPRY4,1.9659805940000001,5.316094646,14.21895913,7.749999999999999e-12,3.9899999999999997e-10,17.20206756
70,PRKX,1.0958502909999999,4.6962518069999994,14.21704395,7.77e-12,3.9899999999999997e-10,17.2376
71,SOX9,2.8437798169999997,3.869362717,14.13056921,8.670000000000001e-12,4.3700000000000004e-10,17.18695253
72,NAV3,2.630967357,5.699222398,14.11897316,8.8e-12,4.42e-10,17.05333734
73,ZNF185,3.976858988,2.943280708,13.9536932,1.0900000000000001e-11,5.33e-10,17.00575025
74,SPEG,1.5185729819999998,4.45310644,13.86894069,1.2099999999999999e-11,5.91e-10,16.80033701
75,TNFRSF10C,3.089667262,3.3374891439999996,13.83249827,1.2699999999999999e-11,6.169999999999999e-10,16.83577119
77,SCFD2,1.305143772,6.40779347,13.70382939,1.51e-11,7.16e-10,16.47628199
78,ANKRA2,1.24043404,3.9408215460000005,13.70318033,1.51e-11,7.16e-10,16.62175925
